college_code,college_name,branch_code,branch_name,seat_type,category,closing_merit_no,closing_percentile
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,GOPENS,40678,77.8495773
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,GSCS,55830,68.2985361
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,GSTS,86718,43.3167495
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,GVJS,45691,74.5106403
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,GNT1S,41586,77.0666918
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,GNT2S,51711,70.9263207
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,GNT3S,49334,72.5765063
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,GOBCS,46967,74.0962113
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,LOPENS,30535,83.4045178
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,LSCS,50420,71.6451268
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,LSTS,79098,50.9996691
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,LVJS,40679,77.8495773
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,LNT2S,72814,55.8902921
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,LOBCS,41709,77.0666918
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,DEFOPENS,88218,42.7946749
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,TFWS,19635,89.4077610
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,DEFROBCS,98060,32.4992712
01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,State Level,EWS,52672,70.2135829
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,GOPENS,6412,96.4453291
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,GSCS,9920,94.6469248
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,GSTS,41139,77.1458362
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,GVJS,17056,90.8078665
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,GNT1S,7766,95.7384206
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,GNT2S,9524,94.8196814
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,GNT3S,10818,94.1471246
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,GOBCS,6904,96.1905225
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,LOPENS,4603,97.3751017
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,LSCS,8998,95.1073753
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,LSTS,32400,82.4244430
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,LVJS,15893,91.4761117
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,LNT1S,7378,95.9513400
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,LNT2S,14019,92.4735769
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,LOBCS,6218,96.5320687
01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,State Level,PWDOPENS,79110,50.9996691
